Source System Code,Product ID,Product Code,Basel Product Code,Basel Product type Code,Asset Class Number,Asset Class Description,Portfolio Name,Product Name,Sub Product Name,Basel Sub Product Name,BCAR Schedule Number,NCR Exposure Class  Key Value,CCaR Basel Product Type Name,CCaR short Name,Currency Of Account,NCR Rate Key Value,Basel_Product,Basel_Prod_Abbr,Security Type,PD Band Exposure Class Key Value,PD Band Exposure Class Description,NCR Exposure class Description,DT4 Risk Rating Key Value,DT4 Exposure Class Key Value
SPL,S01,Direct Auto,DTL,DTL AUTO,2,Other Retail,Consumer,SPL,SPL Direct,SPL Direct Auto Secured,32,0507,DTL_AUTO,DTLAUTO,CAD,0701,SPL Direct,Direct Auto,Direct Secured,0507,Other Retail,Other Retail,0214,5508
SPL,S02,Direct CASH/RRC,DTL,DTL CASH,2,Other Retail,Consumer,SPL,SPL Direct,SPL Direct CASH/RRC Secured,32,0507,DTL_CASH,DTLCASH,CAD,0701,SPL Direct,Direct CASH/RRC,Direct Secured,0507,Other Retail,Other Retail,0214,5508
SPL,S03,Direct CLIP,DTL,DTL CLIP,2,Other Retail,Consumer,SPL,SPL Direct,SPL Direct CLIP Secured,32,0507,DTL_CLIP,DTLCLIP,CAD,0701,SPL Direct,Direct CLIP,Direct Secured,0507,Other Retail,Other Retail,0214,5508
SPL,S04,Direct Other Depreciable,DTL,DTL OTHER,2,Other Retail,Consumer,SPL,SPL Direct,SPL Direct Other Depreciable Secured,32,0507,DTL_OTHER,DTLOTHER,CAD,0701,SPL Direct,Direct Other Depreciable,Direct Secured,0507,Other Retail,Other Retail,0214,5508
SPL,S05,Direct Real Estate,DTL,DTL RRE,1,Real Estate Secured,Consumer,SPL,SPL Direct,SPL Direct Real Estate Secured,30,0512,DTL_RRE,DTLRRE,CAD,0701,SPL Direct,Direct Real Estate,Direct Secured,0502,Mortgages,Residential Mortgage - Non-Insured,0214,5502
SPL,S06,Direct RSP Loans,DTL,DTL RSP,2,Other Retail,Consumer,SPL,SPL Direct,SPL Direct RSP Loans Unsecured,32,0507,DTL_RSP,DTLRSP,CAD,0701,SPL Direct,Direct RSP Loans,Direct Unsecured,0507,Other Retail,Other Retail,0214,5508
SPL,S07,Direct Unsecured Other,DTL,DTL UNSEC,2,Other Retail,Consumer,SPL,SPL Direct,SPL Direct Unsecured Other,32,0507,DTL_UNSEC,DTLUNSEC,CAD,0701,SPL Direct,Direct Unsecured Other,Direct Unsecured,0507,Other Retail,Other Retail,0214,5508
SPL,S08,SPL under STEP,DTL,DTL STEP,1,Real Estate Secured,Consumer,SPL,SPL Direct,SPL Direct Step Secured,30,0512,DTL_STEP,DTLSTEP,CAD,0701,SPL Direct,SPL under STEP,SPL under STEP,0502,Mortgages,Residential Mortgage - Non-Insured,0214,5502
SPL,S09,Indirect Auto - Regular,ITL,ITL AUTO REG,2,Other Retail,Consumer,SPL,SPL Indirect,SPL Indirect Auto Regular,32,0507,ITL_AUTO_REG,ITLAUTOREG,CAD,0701,SPL Indirect,Indirect Auto - Regular,Indirect Auto,0507,Other Retail,Other Retail,0215,5506
SPL,S10,Indirect Auto - Rate Subvented,ITL,ITL AUTO RS,2,Other Retail,Consumer,SPL,SPL Indirect,SPL Indirect Auto Rate Subvented,32,0507,ITL_AUTO_RS,ITLAUTORS,CAD,0701,SPL Indirect,Indirect Auto - Rate Subvented,Indirect Auto,0507,Other Retail,Other Retail,0215,5506
SPL,S11,Indirect Home Improvement,ITL,ITL HI,2,Other Retail,Consumer,SPL,SPL Indirect,SPL Indirect Home Improvement,32,0507,ITL_HI,ITLHI,CAD,0701,SPL Indirect,Indirect Home Improvement,Indirect Other,0507,Other Retail,Other Retail,0215,5508
SPL,S12,Indirect Leisure,ITL,ITL LEISURE,2,Other Retail,Consumer,SPL,SPL Indirect,SPL Indirect Leisure,32,0507,ITL_LEISURE,ITLLEISURE,CAD,0701,SPL Indirect,Indirect Leisure,Indirect Other,0507,Other Retail,Other Retail,0215,5508
SPL,S13,Indirect Marine,ITL,ITL MARINE,2,Other Retail,Consumer,SPL,SPL Indirect,SPL Indirect Marine,32,0507,ITL_MARINE,ITLMARINE,CAD,0701,SPL Indirect,Indirect Marine,Indirect Other,0507,Other Retail,Other Retail,0215,5508
SPL,S14,Indirect OTHER,ITL,ITL OTHER,2,Other Retail,Consumer,SPL,SPL Indirect,SPL Indirect Other,32,0507,ITL_OTHER,ITLOTHER,CAD,0701,SPL Indirect,Indirect OTHER,Indirect Other,0507,Other Retail,Other Retail,0215,5508
SPL,S15,Indirect RV,ITL,ITL RV,2,Other Retail,Consumer,SPL,SPL Indirect,SPL Indirect RV,32,0507,ITL_RV,ITLRV,CAD,0701,SPL Indirect,Indirect RV,Indirect Other,0507,Other Retail,Other Retail,0215,5508